"sido","sigun","dong","구주소본번","구주소부번","street","새주소본번","새주소부번","건물명","상세건물명","X좌표","Y좌표"
"서울특별시","중랑구","망우동","155","6","용마산로114길","32","7"," "," ","209099.9871","455482.1113"
"서울특별시","중랑구","망우동","361","11","용마산로114길","19","0","","","209023.4286","455510.7386"
"서울특별시","중랑구","망우동","401","27","용마산로112가길","13","7","","","209031.7154","455400.7146"
"서울특별시","중랑구","망우동","467","16","용마산로111길","27","0","소망교회","","208663.3996","455329.8093"
"서울특별시","중랑구","망우동","427","52","용마산로100길","76","0","골든아트빌"," ","209019.5543","454521.2794"
"서울특별시","중랑구","망우동","427","8","용마산로100길","74","21","","","208982.1615","454433.5117"
"서울특별시","중랑구","망우동","406","22","용마공원로5길","16","0","열린교회","","209009.2221","454998.9326"
"서울특별시","중랑구","망우동","412","10","용마공원로2길","41","3","","","208820.5361","454845.4408"
"서울특별시","중랑구","망우동","412","27","용마공원로2길","31","8","","","208837.6955","454876.5408"
"서울특별시","중랑구","면목동","140","17","겸재로23가길","3","0","","","207229.2638","454249.3798"
"서울특별시","중랑구","면목동","141","66","겸재로15길","41","4","","","207206.9427","454328.0138"
"서울특별시","중랑구","면목동","175","11","겸재로10길","3","0","","","206929.7543","454053.6766"
"서울특별시","중랑구","면목동","174","9","겸재로10가길","15","0","","","206843.0412","453985.9057"
"서울특별시","중랑구","묵동","242","54","중랑천로","266","0","","","206468.9215","456546.2625"
"서울특별시","중랑구","중화동","326","120","중랑천로","146","14","","","206424.5418","455394.1973"
"서울특별시","중랑구","면목동","198","26","중랑천로","59","11","도원아트빌","","206404.3176","454548.051"
"서울특별시","중랑구","묵동","233","6","중랑역로","243","4","","","206658.3626","457315.5159"
"서울특별시","중랑구","묵동","243","143","중랑역로","175","4","","","206705.2588","456636.5128"
"서울특별시","중랑구","망우동","529","79","겸재로61가길","9","7","","","208433.1671","454670.3009"
"서울특별시","중랑구","망우동","529","85","겸재로61가길","3","6","","","208416.2224","454657.8357"
"서울특별시","중랑구","면목동","68","4","겸재로50나길","41","0","","","208284.0022","454185.5309"
"서울특별시","중랑구","면목동","71","58","겸재로50나길","27","0","","","208267.7203","454247.5652"
"서울특별시","중랑구","면목동","70","22","겸재로50가길","17","3","","","208210.8802","454281.1355"
